HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ
0.2316,1.7642,-1.0743,6.6857,350.3248,4.6704
0.2316,1.7642,-1.0743,6.6991,350.3492,4.667
0.2315,1.7641,-1.0743,6.7207,350.3441,4.6623
0.2314,1.7641,-1.0742,6.7551,350.3112,4.6531
0.2313,1.7641,-1.0742,6.792,350.3092,4.6597
0.2312,1.7641,-1.0741,6.816,350.3142,4.6653
0.2312,1.7641,-1.074,6.8279,350.3515,4.6819
0.2312,1.7641,-1.0739,6.8191,350.3519,4.6449
0.2312,1.7641,-1.0739,6.8145,350.3477,4.6392
0.2311,1.7642,-1.0737,6.8137,350.3364,4.6394
0.2311,1.7642,-1.0736,6.8062,350.3261,4.6319
0.231,1.7641,-1.0734,6.8412,350.2995,4.6071
0.2311,1.764,-1.0732,6.9081,350.3148,4.5985
0.2311,1.7639,-1.073,6.9549,350.3744,4.5963
0.2312,1.7639,-1.0727,6.9413,350.468,4.5942
0.2313,1.764,-1.0727,6.9487,350.5219,4.6073
0.2314,1.764,-1.0725,6.9311,350.5443,4.5952
0.2314,1.764,-1.0724,6.9304,350.5508,4.5846
0.2315,1.7639,-1.0722,6.9635,350.5418,4.5564
0.2317,1.7637,-1.0718,7.0139,350.5456,4.5056
0.2319,1.7636,-1.0716,7.0522,350.5658,4.4991
0.2321,1.7634,-1.0712,7.1389,350.626,4.4713
0.2323,1.7633,-1.071,7.1781,350.6667,4.4665
0.2326,1.7632,-1.0708,7.2155,350.7002,4.459
0.2328,1.7631,-1.0705,7.2214,350.7256,4.4382
0.2329,1.7631,-1.0705,7.2378,350.7403,4.4335
0.2331,1.763,-1.0702,7.3096,350.7945,4.4262
0.2332,1.763,-1.0701,7.3362,350.8084,4.4275
0.2334,1.7628,-1.0698,7.4358,350.9027,4.4563
0.2337,1.7626,-1.0697,7.5163,351.0492,4.5258
0.2338,1.7626,-1.0696,7.538,351.076,4.5374
0.2341,1.7625,-1.0696,7.5513,351.1444,4.5855
0.2343,1.7625,-1.0695,7.5675,351.2443,4.5999
0.2346,1.7623,-1.0695,7.7888,351.3966,4.6641
0.2346,1.7622,-1.0695,7.7912,351.3777,4.6552
0.2346,1.7622,-1.0695,7.8757,351.3691,4.6773
0.2347,1.762,-1.0696,8.0008,351.3133,4.6772
0.2348,1.762,-1.0697,8.0891,351.2718,4.6765
0.2348,1.7619,-1.0697,8.0966,351.2797,4.6763
0.235,1.7619,-1.0699,8.1791,351.3231,4.6983
0.2351,1.7618,-1.0702,8.2567,351.3512,4.7013
0.2352,1.7618,-1.0704,8.2569,351.3699,4.7056
0.2352,1.7619,-1.0708,8.2375,351.3941,4.7138
0.2352,1.762,-1.0713,8.1453,351.4232,4.7019
0.2352,1.7621,-1.0715,8.0921,351.4348,4.6929
0.2353,1.7622,-1.0718,8.0378,351.4658,4.6793
0.2353,1.7623,-1.0723,7.9168,351.5018,4.66
0.2355,1.7624,-1.0726,7.8569,351.4858,4.6261
0.2356,1.7626,-1.0731,7.7304,351.4829,4.5815
0.2357,1.7627,-1.0734,7.7099,351.4993,4.5707
0.2359,1.7628,-1.074,7.6474,351.4901,4.5643
0.236,1.7629,-1.0745,7.5549,351.4826,4.5451
0.2361,1.763,-1.075,7.5364,351.4991,4.537
0.2362,1.763,-1.0755,7.4984,351.4944,4.503
0.2363,1.763,-1.076,7.4745,351.4972,4.4925
0.2363,1.763,-1.0764,7.4457,351.4981,4.4867
0.2365,1.763,-1.0769,7.447,351.4987,4.4641
0.2366,1.763,-1.0776,7.4202,351.4899,4.441
0.2367,1.7631,-1.0778,7.4234,351.4904,4.4371
0.2368,1.7631,-1.0784,7.3802,351.4898,4.4155
0.2369,1.7631,-1.0787,7.3705,351.4902,4.401
0.2371,1.7632,-1.0793,7.3699,351.5011,4.3928
0.2373,1.7633,-1.08,7.3628,351.5443,4.4
0.2374,1.7633,-1.0803,7.3434,351.5583,4.3928
